slug,rating_value
bezobalove-prodejny-rozsiruji-sortiment-nabizeji-potraviny-i-zubni-pasty,3.5
bidenova-ostuda-snimky-ukazaly-podminky-v-jakych-usa-drzi-detske-migranty,4.166666666666667
brana-u-vily-osveta-s-bustou-jana-masaryka-hrozi-padem-jisti-ji-podpery,3.6666666666666665
brzy-uvidime-novy-supersmartphone-pro-geeky-jaci-byli-jeho-predchudci,5.0
cast-polske-cirkve-siri-dezinformace-o-covidu-i-ockovani-rika-analytik,3.0
cernovlasa-v-cernem-trikotu-zasli-jsme-vzpomina-suchy-na-objev-hegerove,3.5
chaos-v-mapach-kavkazu-proc-armenie-a-azerbajdzan-nebojuji-jen-o-karabach,5.0
chlapske-sobectvi-testosteron-vede-k-egoismu-tvrdi-studie,2.0
co-vite-o-civilizacnich-chorobach-soutezte-v-kvizu-o-balicky-proti-stresu,3.0
do-prodeje-miri-plysak-podle-nejdivnejsiho-hrdiny-z-mass-effectu,3.0
dovolene-v-cizine-se-odkladaji-anglie-zprisnuje-za-vycestovani-bude-pokuta,3.0
dve-feny-se-vzdy-servou-vic-nez-dva-psi-rika-desensky-radi-co-s-tim,2.6666666666666665
facr-o-slavii-a-rangers-verime-v-objektivni-vysetreni-odmitame-rasismus,3.6666666666666665
harley-jaky-nikdo-necekal-enduro-ma-sto-padesat-koni-a-sedlo-s-vytahem,2.6666666666666665
houby-jsou-pro-rostliny-nezbytne-posilaji-si-pres-ne-varovani-rika-mykolog,4.5
iphony-ceka-designova-zmena-apple-se-ma-inspirovat-androidi-konkurenci,3.0
johannes-bo-porazil-lagreida-potreti-v-rade-je-velky-globus-jeho,3.0
karantenu-zkontroluji-stovky-policistu-mini-hamacek-ceka-se-na-pozadavek,2.75
klaus-mladsi-nebyl-lidr-trikoloru-mozna-prevezme-otec-mini-politologove,3.4
komentar-musime-porazit-pravicovy-virus-pise-ministr-hamacek,1.0
krakoru-na-pozici-namestka-policejniho-prezidenta-docasne-nahradi-kubik,2.5
kviz-odlehle-zname-i-puste-znate-nejzajimavejsi-ostrovy-sveta,5.0
leicester-ve-ctvrtfinale-anglickeho-poharu-zdolal-united-postoupily-i-city-a-chelsea,3.6666666666666665
luxusni-atmosfera-a-poradne-stado-koni-jake-je-nejnovejsi-bmw-alpina-b7,3.5
maly-krok-pro-cloveka-ale-velky-skok-pro-golf-skoncilo-to-pred-50-lety,4.0
milujete-kavu-v-espresso-tycoon-se-budete-starat-o-vlastni-kavarnu,4.0
muz-se-vyhybal-vezeni-kdyz-na-sebe-upozornil-prestupkem-zkusil-hlidce-ujet,3.0
na-co-zira-masinfira-projedte-si-nadhernou-trat-v-udoli-nespoutane-opavy,5.0
na-kominy-priletli-prvni-capi-nektere-je-mozne-sledovat-z-domova,3.75
na-nadherne-plaze-zapomente-presto-je-madeira-skutecnym-klenotem-atlantiku,3.3333333333333335
nechceme-luxusni-skolky-rekla-malacova-detske-skupiny-se-zmeni-na-jesle,2.0
obrazem-obnova-vyhoreleho-kostela-v-gutech-se-blizi-ke-konci,3.0
obrazem-zapady-slunce-kostely-i-popelnice-vyhledy-nasich-ctenaru,3.5
okoli-ma-smulu-spojeni-s-prahou-do-jednoho-okresu-je-riziko-mini-hamacek,2.3333333333333335
online-pardubice-zachranuji-serii-doma-vedou-3-1-vzepre-se-hradec-tygrum,4.5
pirati-zverejnili-plan-na-rozdeleni-penez-z-eu-sly-by-do-skolstvi-i-zdravi,3.0
po-stopach-slavnych-literatek-kde-zily-a-tvorily-rettigova-svetla-i-nemcova,5.0
pochod-praha-prcice-bude-o-mesic-pozdeji-covid-zmeni-jeho-podobu,5.0
pomuzou-na-postcovidovy-syndrom-vakciny-zda-se-to-mozne,2.3333333333333335
poptavka-po-antigennich-sadach-je-vysoka-obchody-rozsiruji-nabidku-o-testy-ze-slin,3.4
poptavka-po-it-specialistech-roste-firmy-hledaji-v-regionech-i-mimo-republiku,4.0
porozumime-nekdy-reci-zvirat-zatim-to-umeji-jenom-pohadky,3.0
povinna-solidarita-v-eu-jihoevropske-staty-chteji-zpet-migracni-kvoty,3.0
predjel-jsem-i-sam-sebe-za-24-hodin-jsem-ale-na-kole-urval-911-kilometru,5.0
predsednictvo-trikolory-se-vyjadri-k-odchodu-vaclava-klause-ml-z-politiky,3.5
pribeh-anny-syn-se-odmita-usmirit-s-otcem-nevim-si-rady,2.0
prodeje-hororu-amnesia-rebirth-presahly-sto-tisic-na-zisk-to-nestaci,3.0
prvni-casovka-v-quick-stepu-cerny-v-katalansku-vedl-nakonec-byl-osmy,4.333333333333333
real-ma-po-puli-dvoubrankovy-naskok-nad-liverpoolem-city-vede-o-gol,3.5
rychly-byl-ve-tvari-piaf-jandova-schelinger-a-vyhral-cerneho-psy,2.0
samoa-ostrovy-kanibalu-uz-turisty-vitaji-s-otevrenou-naruci,4.0
sazenice-na-konec-lockdownu-nepockaji-z-kavarny-v-brne-je-zahradnictvi,3.5
sileny-cesky-plan-dva-roky-trenoval-ted-chce-sam-preveslovat-atlantik,5.0
skladacka-od-xiaomi-je-mozna-na-spadnuti-naznacuje-dalsi-unik-prototypu,3.5
sto-objevu-nevidim-ale-ctu-brisky-prstu-braille-dal-nevidomym-pismo,4.5
strelec-zabil-v-obchode-v-coloradu-deset-lidi-mezi-nimi-i-policistu,2.3333333333333335
tisice-drobnych-podnikatelu-zacinaji-slyset-na-platebni-terminaly,3.0
tricet-dnu-rozhodne-ne-rekl-bartos-opozici-svorne-vadi-uzavera-okresu,2.75
ukoncete-krizi-a-rezignujte-vyzvala-caputova-matovice-po-demisi-ministryne,3.5
uz-zadne-vrasky-ctyri-jednoduche-triky-jak-oddalit-starnuti-pleti,2.0
vaclav-klaus-nesouhlasi-s-odchodem-syna-z-politiky-pokusi-se-ho-premluvit,3.0
valka-trochu-jinak-ve-ww2-rebuilder-budeme-obnovovat-vybombardovana-mesta,3.0
velky-turisticky-pruvodce-proc-jsou-kanarske-ostrovy-nebezpecne-navykove,4.0
video-jezevcik-se-zritil-do-sklepa-straznice-ho-vylakala-az-diky-sunce,3.0
vlada-objednala-o-petinu-davek-vakcin-mene-nez-na-co-melo-cesko-narok,2.6666666666666665
vraci-se-zelvy-ninja-v-nove-videohre-vyzvou-samotneho-trhace,3.0
vyberte-si-ten-spravny-look-tipy-na-ctyri-super-outfity,3.3333333333333335
vymena-baterie-v-elektromobilu-vyjde-i-na-vic-nez-polovinu-ceny-noveho-auta,3.75
z-hromady-kameni-povstal-hrad-hartenstejn-i-s-karlovarskou-vezi,4.0
z-vykopu-v-kobylisich-slehaly-plameny-zastavit-plyn-trvalo-nekolik-hodin,3.0
za-mladistvy-vzhled-vdecim-veganstvi-rika-po-sedmdesatce-weaverova,2.0
za-pobodani-zeny-a-tchana-dostal-vietnamec-13-let-jednal-pry-v-afektu,2.0
zasklena-terasa-je-po-rekonstrukci-vily-jednim-z-nejvetsich-bonusu,3.5
zastal-se-napadeneho-tri-muzi-ho-surove-zbili-kopali-do-bricha-i-hlavy,2.6666666666666665
zemrel-posledni-krkonossky-nosic-helmut-hofer-ikona-velke-upy,4.0
zemrela-prvni-dama-ceskeho-sansonu-hana-hegerova,4.333333333333333
zivot-v-budovach-nam-nesvedci-rika-vedkyne-ktera-vymyslela-rovnici-stresu,4.666666666666667
