,model_variant,AP,precision_score,balanced_accuracies,DCG,DCG_AT_5,F1-SCORE,NDCG,NDCG_AT_5
0,categories,0.58,0.41,0.62,4.05,1.7,0.48,0.77,0.58
1,doc2vec,0.66,0.2,0.52,2.5,1.04,0.23,0.63,0.38
2,doc2vec-full-text,0.77,0.58,0.73,4.93,2.06,0.62,0.85,0.7
3,doc2vec-old,0.27,0.3,0.5,4.17,1.75,0.46,0.82,0.59
4,hybrid,0.58,0.18,0.5,2.46,1.03,0.2,0.66,0.36
5,hybrid_fuzzy,0.53,0.18,0.5,2.46,1.03,0.21,0.65,0.38
6,keywords,0.72,0.41,0.58,4.55,1.9,0.55,0.83,0.65
7,lda_full_text,0.32,0.08,0.5,1.12,0.46,0.06,0.48,0.21
8,svd,0.61,0.28,0.54,3.26,1.42,0.37,0.73,0.52
98,tfidf,0.49,0.15,0.45,2.21,0.9,0.19,0.57,0.32
99,tfidf-full-text,0.0,0.5,0.63,5.19,2.17,0.66,0.88,0.74
100,tfidf_full_text,0.52,0.13,0.5,1.84,0.75,0.12,0.58,0.28
101,word2vec-cswiki-eval-1,0.58,0.29,0.55,3.22,1.35,0.36,0.69,0.48
102,word2vec-eval-1,0.73,0.41,0.61,4.18,1.75,0.5,0.78,0.61
103,word2vec-eval-2,0.0,0.49,0.65,4.83,2.02,0.6,0.84,0.69
104,word2vec-eval-3,0.72,0.51,0.65,5.08,2.13,0.66,0.85,0.73
105,word2vec-eval-4,0.85,0.38,0.61,3.78,1.58,0.44,0.75,0.55
106,word2vec-fasttext-full-text,0.81,0.1,0.4,1.37,0.58,0.12,0.43,0.24
107,word2vec_eval_3,0.78,0.19,0.5,2.73,1.11,0.26,0.65,0.4
